time	pressure1	temp1	pressure2	temp2	accx	accy	accz	gyx	gyy	gyz	magx	magy	magz	hgax	hgay	hgaz	time_seconds	time_minutes	rolling_variance1	rolling_variance2
493020	1018.2	10.56	1037.4	10.27	1.5048	3.5195	-16.842	98.2	-6.3	125.1	-21.3	-88.5	142.5	-2.39	-9.1	0.0	459.56	7.6593333333333335	24.6754326531438	15.674126530597276
493040	1012.6	10.56	1033.1	10.27	2.0602	4.3311	-16.7043	132.6	-14.9	113.0	-23.7	-66.9	143.1	-8.62	6.22	35.91	459.58	7.659666666666666	24.806534693962753	16.959840816310553
493060	1015.2	10.56	1036.8	10.27	0.6357	2.6959	-9.1135	249.8	-29.9	62.9	-11.7	-33.3	147.9	-6.22	-7.18	1.92	459.6	7.66	25.377636734783017	19.62431020406423
493080	1015.4	10.56	1033.1	10.27	1.4509	0.0072	-12.7982	248.4	-52.7	52.4	-6.9	19.5	149.1	-11.97	-0.96	22.51	459.62	7.660333333333333	25.956608163358485	20.717914285695795
493100	1015.6	10.56	1030.3	10.27	1.1025	-1.9513	-10.7715	249.8	-58.3	41.8	-4.5	60.3	144.3	-4.79	4.31	10.06	459.64	7.660666666666667	26.535330612342296	21.1102040816135
493120	1011.6	10.56	1029.3	10.27	0.5638	-2.9748	-8.9507	229.8	-62.6	38.7	-6.9	74.7	153.9	-15.8	1.44	26.34	459.66	7.6610000000000005	26.522044898058418	21.212036734674033
493140	1010.5	10.56	1029.0	10.27	0.0634	-3.3219	-7.5417	175.5	-64.9	43.7	12.3	108.3	147.9	-11.49	2.87	22.98	459.68	7.661333333333333	26.432902040916982	21.28785714283669
493160	1008.7	10.56	1027.1	10.27	0.0826	-3.7062	-5.5043	125.9	-65.1	48.4	14.7	134.7	146.7	-13.41	6.7	6.22	459.7	7.661666666666666	26.36948979601949	21.094269387734165
493180	1008.0	10.56	1023.8	10.27	0.4465	-3.7673	-4.0007	72.7	-66.2	56.2	26.7	141.9	141.9	-11.97	3.83	10.53	459.72	7.662000000000001	26.32942448989728	21.042208163244318
493200	1008.1	10.56	1022.7	10.27	0.0814	-3.3339	-3.6284	21.9	-67.2	65.4	36.3	156.3	140.7	-11.49	-7.18	19.15	459.74	7.662333333333334	26.25756734704055	21.094485714264763
493220	1006.4	10.56	1023.0	10.27	-0.328	-2.7234	-3.1615	-18.2	-67.7	69.8	57.9	144.3	138.9	-11.97	0.48	7.18	459.76	7.6626666666666665	26.40622448989705	21.094485714264763
493240	1007.4	10.56	1023.0	10.27	-0.4525	-2.1356	-2.0961	-55.0	-68.0	72.9	65.1	125.1	141.3	-5.27	7.18	11.49	459.78000000000003	7.663	26.394383673570577	21.094485714264763
493260	1005.9	10.56	1022.7	10.27	-0.3735	-1.5431	-1.3312	-89.0	-67.9	74.8	72.3	117.9	138.9	-9.1	-18.2	13.89	459.8	7.663333333333333	26.445800000101013	21.108146938754558
493280	1006.5	10.56	1022.1	10.27	-0.2897	-0.9397	-0.8176	-114.1	-67.9	76.0	86.7	113.1	141.3	-4.79	-6.22	31.12	459.82	7.663666666666667	26.503628571529344	21.273893877530206
493300	1006.3	10.56	1022.8	10.27	-0.3148	-0.4537	-0.5447	-134.2	-67.4	78.4	89.1	81.9	140.1	-11.49	-13.41	16.28	459.84000000000003	7.664000000000001	26.57879183683517	21.299771428550635
493320	1005.6	10.56	1022.7	10.27	-0.3747	-0.2263	-0.4776	-149.8	-66.5	83.0	101.1	69.9	138.9	5.27	3.35	17.24	459.86	7.664333333333333	26.86255102050751	21.271444897938366
493340	1005.5	10.56	1022.7	10.27	-0.4489	-0.0754	-0.4214	-161.2	-65.1	89.4	96.3	41.1	137.1	-8.62	-0.96	8.14	459.88	7.664666666666666	27.062289796017012	21.28499999997918
493360	1005.9	10.56	1022.6	10.27	-0.5267	0.2478	-0.4908	-172.1	-63.4	97.9	117.9	14.7	141.3	-0.48	2.39	17.24	459.90000000000003	7.665000000000001	27.228636734791877	21.298955102020017
493380	1006.4	10.56	1023.3	10.27	-0.7709	0.3795	-0.9708	-184.8	-61.2	107.6	134.7	-6.9	135.3	-12.93	-10.06	17.24	459.92	7.665333333333334	27.42826530621946	21.287448979571035
493400	1006.4	10.56	1022.4	10.27	-1.2725	0.3663	-1.9381	-201.5	-57.9	120.6	139.5	-38.1	127.5	-6.22	1.92	11.01	459.94	7.665666666666667	27.569648979688203	21.369832653040504
493420	1005.8	10.56	1022.5	10.27	-3.4644	0.3938	-6.5529	-218.2	-53.1	134.7	137.1	-74.1	133.5	-12.45	-0.96	0.48	459.96000000000004	7.666	27.836424489891122	21.472689795897754
493440	1005.7	10.57	1022.5	10.26	-6.2967	0.0407	-11.7914	-186.0	-41.1	127.2	129.9	-117.3	129.9	-5.75	4.79	2.87	459.98	7.666333333333333	28.117310204175595	21.575024489775412
493460	1005.5	10.57	1022.8	10.26	-8.0744	-0.3352	-14.5172	-140.5	-24.9	109.0	141.9	-134.1	129.9	-11.97	-5.75	-4.79	460.0	7.666666666666667	28.135493877644922	21.587983673448885
493480	1006.4	10.57	1022.6	10.26	-8.9938	-0.3603	-16.4888	-83.8	-6.3	81.6	144.3	-155.7	125.1	-5.27	21.07	-154.19	460.02	7.667	28.309310204174654	21.652657142836702
493500	1014.8	10.57	1026.0	10.26	-10.8074	5.6132	-0.7937	213.1	17.6	14.1	129.9	-158.1	121.5	-11.49	2.87	-22.98	460.04	7.667333333333334	28.524853061322332	21.53138367344864
493520	1013.9	10.57	1028.4	10.26	-11.5939	2.6564	-3.3207	136.9	48.3	2.4	137.1	-126.9	129.3	5.75	9.1	-5.27	460.06	7.667666666666666	28.723771428672624	21.476636734672482
493540	1013.4	10.57	1027.7	10.26	-6.0657	2.9173	-11.4909	85.1	91.5	4.1	125.1	-117.3	130.5	-2.87	-5.27	4.31	460.08	7.668	28.75724489806383	21.372751020386236
493560	1014.6	10.57	1029.6	10.26	-3.7601	4.0474	-8.7628	33.9	103.3	20.0	110.7	-112.5	137.7	-2.87	1.92	8.14	460.1	7.668333333333334	28.702485714395408	21.382567346916034
493580	1013.9	10.57	1028.6	10.26	-2.4576	4.4364	-9.1482	-3.2	112.9	40.5	91.5	-95.7	131.7	-11.01	-8.14	7.18	460.12	7.668666666666667	28.71389387766453	21.291302040792907
493600	1013.8	10.57	1027.4	10.26	-1.8902	4.4305	-8.9687	-18.0	116.7	51.8	81.9	-102.9	135.3	-0.48	-1.44	-3.35	460.14	7.669	28.73054693889254	21.023187755078016
493620	1010.5	10.57	1029.6	10.26	-0.9062	7.4687	-13.9414	-32.5	121.9	67.8	67.5	-114.9	128.1	-11.49	7.18	19.15	460.16	7.669333333333333	28.331759183792908	20.961016326505717
493640	1010.2	10.57	1027.9	10.26	-1.0642	3.1819	-7.3394	7.0	135.2	71.5	62.7	-112.5	140.7	-1.44	10.53	2.39	460.18	7.669666666666667	27.94499591848896	20.835102040790886
493660	1010.8	10.57	1027.0	10.26	-0.9182	3.7038	-8.339	-15.8	132.9	68.7	43.5	-122.1	144.3	-4.79	-0.48	18.67	460.2	7.67	27.63766938787891	20.583351020382207
493680	1011.6	10.57	1027.7	10.26	-1.0008	3.0311	-8.4431	-26.4	130.4	56.0	24.3	-122.1	143.1	-1.92	3.83	13.89	460.22	7.670333333333334	26.86128979604613	20.16281224487124
