time,pressure1,temp1,pressure2,temp2,accx,accy,accz,gyx,gyy,gyz,magx,magy,magz,hgax,hgay,hgaz,time_seconds,time_minutes
373698,1004.0,9.6,999.3,9.42,0.4106,7.1754,10.5704,-249.8,249.8,-123.0,-167.7,-28.5,63.9,7.66,2.39,18.67,0.06,0.001
373718,1003.1,9.6,996.6,9.42,0.8835,7.6961,11.3892,-249.8,249.8,-189.9,-165.3,-52.5,36.9,10.53,-3.83,-11.49,0.08,0.0013333333333333333
373738,993.0,9.6,995.0,9.42,-0.9457,5.1643,3.8032,-249.8,249.8,-57.2,-143.7,-83.7,12.9,-0.48,-0.48,24.9,0.1,0.0016666666666666668
373758,993.5,9.6,995.9,9.42,-2.7078,5.1355,11.2252,-249.8,249.8,-179.4,-110.1,-59.7,-7.5,-0.48,5.27,23.94,0.12,0.002
373778,991.9,9.6,995.0,9.42,-4.1444,4.6795,10.5153,-249.8,249.8,-249.8,-30.9,-42.9,-26.1,3.35,5.75,26.82,0.14,0.0023333333333333335
373798,991.8,9.6,994.8,9.42,-5.6204,4.7836,10.0939,-249.8,249.8,-249.3,45.9,-4.5,-33.9,8.62,3.83,30.65,0.16,0.0026666666666666666
373818,995.8,9.6,995.9,9.42,-4.7585,5.5378,10.9355,-249.8,249.8,-249.8,125.1,57.9,-47.1,6.7,4.31,9.1,0.18,0.003
373838,995.4,9.6,994.7,9.42,-6.0501,4.2988,14.1497,-196.8,249.8,-249.8,209.1,93.9,-32.1,2.87,3.83,34.48,0.2,0.0033333333333333335
373858,993.3,9.6,994.0,9.42,-4.4065,2.9904,19.2038,-83.4,249.8,-249.8,278.7,125.1,-23.1,-0.96,14.84,-5.75,0.22,0.0036666666666666666
373878,995.7,9.6,998.2,9.42,-5.5833,-2.5151,6.2405,246.4,249.8,-237.4,345.9,151.5,-6.9,-6.7,14.37,41.66,0.24,0.004
373898,995.5,9.6,999.4,9.42,-16.3799,-5.4779,11.8501,224.8,249.8,-197.2,417.9,161.1,12.3,-6.22,11.01,25.38,0.26,0.004333333333333333
373918,992.6,9.6,996.7,9.42,-9.3529,0.4884,6.3913,231.6,249.8,-162.1,429.9,185.1,36.9,-0.48,5.27,11.49,0.28,0.004666666666666667
373938,993.1,9.6,995.8,9.42,-10.2867,-0.4046,3.304,234.3,249.8,-102.4,451.5,218.7,64.5,-0.48,2.87,-5.75,0.3,0.005
