time,pressure1,temp1,pressure2,temp2,accx,accy,accz,gyx,gyy,gyz,magx,magy,magz,hgax,hgay,hgaz,time_seconds,time_minutes
62755,1008.4,13.13,1003.0,12.69,-3.9839,4.9332,1.0642,18.5,-118.5,-67.5,288.3,-30.9,111.3,2.39,-0.96,28.25,0.02,0.0003333333333333333
62775,1008.9,13.13,1007.5,12.69,-3.3423,0.7745,-1.3168,-18.4,-100.2,6.1,307.5,-16.5,105.3,3.83,5.27,7.18,0.04,0.0006666666666666666
62795,1006.4,13.13,1005.7,12.69,-2.1225,0.5782,-0.9086,-32.6,-86.2,50.3,307.5,-35.7,107.1,4.79,-5.27,11.49,0.06,0.001
62815,1007.1,13.13,1004.5,12.69,-1.4868,0.5614,-0.5602,-40.4,-74.3,85.2,300.3,-52.5,105.9,1.44,4.31,15.32,0.08,0.0013333333333333333
62835,1007.7,13.13,1004.9,12.69,-1.4102,0.6081,-0.5231,-43.6,-66.1,111.7,336.3,-62.1,96.3,5.75,0.0,14.37,0.1,0.0016666666666666668
62855,1007.4,13.13,1004.6,12.69,-1.5658,0.589,-0.6057,-47.1,-58.5,135.8,341.1,-69.3,102.3,2.87,0.96,-1.92,0.12,0.002
62875,1007.3,13.13,1003.9,12.69,-4.6232,0.8775,-1.1444,-49.6,-50.5,153.0,341.1,-90.9,100.5,5.27,1.44,1.92,0.14,0.0023333333333333335
62895,1007.1,13.13,1003.8,12.69,-6.5625,2.4349,-1.6927,-42.4,-36.1,132.6,350.7,-110.1,93.3,3.35,10.53,21.55,0.16,0.0026666666666666666
62915,1016.6,13.13,1003.7,12.69,-7.5226,2.9485,-2.0482,-36.7,-19.0,110.0,336.3,-136.5,92.1,5.27,9.58,22.98,0.18,0.003
62935,1018.4,13.13,1003.7,12.69,-8.7508,2.9365,-1.9417,-32.6,-0.8,85.0,333.9,-150.9,90.3,0.48,11.97,1.44,0.2,0.0033333333333333335
62955,1015.2,13.13,1003.7,12.69,-10.1526,3.0753,-2.0004,-30.6,19.2,54.0,348.3,-165.3,98.1,0.96,7.18,5.75,0.22,0.0036666666666666666
62975,1012.0,13.13,1004.1,12.69,-26.0752,0.9313,-8.1834,-21.3,54.3,-9.8,345.9,-179.7,92.7,0.48,55.55,1.92,0.24,0.004
62995,1020.0,13.13,997.7,12.69,-2.1069,2.4265,-1.9585,6.0,72.3,-117.3,355.5,-148.5,107.7,5.27,-1.92,20.11,0.26,0.004333333333333333
63015,1010.6,13.13,1007.9,12.69,-8.5604,1.646,-3.7122,13.1,153.9,-114.2,312.3,-131.7,105.3,8.62,11.97,7.18,0.28,0.004666666666666667
63035,1004.2,13.13,1002.3,12.69,-7.0389,1.5383,-2.903,20.2,173.5,-114.4,336.3,-114.9,110.1,2.87,-4.31,8.62,0.3,0.005
63055,1013.9,13.13,1003.9,12.69,-6.7744,1.3671,-3.3447,23.4,187.0,-111.6,307.5,-100.5,110.1,11.97,-0.96,5.75,0.32,0.005333333333333333
63075,1009.7,13.13,1002.6,12.69,-6.4775,1.3384,-3.6416,22.6,201.0,-107.9,290.7,-86.1,124.5,11.97,5.75,23.94,0.34,0.005666666666666667
63095,1007.5,13.13,1003.1,12.69,-6.0693,1.2522,-4.2485,21.7,213.7,-102.8,271.5,-74.1,122.1,0.96,5.27,7.66,0.36,0.006
63115,1006.0,13.13,1003.9,12.69,-5.4564,1.1205,-4.4293,20.4,225.1,-96.0,245.1,-47.7,128.1,6.7,-5.27,11.49,0.38,0.006333333333333333
63135,1004.9,13.13,1003.6,12.69,-5.0482,1.0283,-4.9081,17.0,235.1,-86.9,230.7,-54.9,134.1,8.14,4.79,-4.79,0.4,0.006666666666666667
63155,1005.6,13.13,1003.7,12.69,-4.8028,1.0187,-5.4324,12.9,244.5,-76.1,204.3,-38.1,137.7,-1.44,3.35,6.22,0.42,0.007
63175,1005.5,13.13,1003.7,12.69,-4.5861,1.0846,-6.2034,6.0,249.8,-61.9,185.1,-30.9,143.7,4.79,-0.48,6.7,0.44,0.007333333333333333
63195,1005.4,13.13,1004.5,12.69,-4.8375,-1.1325,-8.3019,-6.3,249.7,-40.4,158.7,-16.5,145.5,-12.45,14.84,1.44,0.46,0.007666666666666667
63215,1014.3,13.13,1012.0,12.69,-5.4288,-8.4551,-13.4302,-138.9,249.8,32.8,113.1,-21.3,149.7,1.92,5.75,19.15,0.48,0.008
63235,1005.9,13.13,1003.6,12.69,-1.8531,1.8016,-6.4571,-170.1,249.8,42.2,91.5,-40.5,159.3,5.27,-7.66,25.38,0.5,0.008333333333333333
63255,1001.5,13.13,999.6,12.69,-1.5945,1.3036,-7.3071,-170.3,249.8,36.1,74.7,-50.1,149.7,8.62,2.39,7.66,0.52,0.008666666666666666
63275,1005.1,13.13,1002.3,12.69,-0.7386,1.6927,-8.1678,-160.3,249.8,25.9,19.5,-66.9,159.3,-1.44,-8.62,-8.14,0.54,0.009000000000000001
63295,1005.3,13.13,1004.1,12.69,0.0251,1.8663,-9.1781,-141.4,249.8,14.5,5.1,-102.9,153.3,5.27,-2.39,0.48,0.56,0.009333333333333334
