time	pressure1	temp1	pressure2	temp2	accx	accy	accz	gyx	gyy	gyz	magx	magy	magz	hgax	hgay	hgaz	time_seconds	time_minutes	rolling_variance1	rolling_variance2
62735	1083.1	13.13	1074.6	12.69	-24.513	-33.4098	-3.5039	80.9	-138.1	-27.3	288.3	-26.1	110.1	6.7	-10.06	8.14	36.160000000000004	0.6026666666666667	113.94040816327578	94.5801183673335
62755	1008.4	13.13	1003.0	12.69	-3.9839	4.9332	1.0642	18.5	-118.5	-67.5	288.3	-30.9	111.3	2.39	-0.96	28.25	36.18	0.603	113.89992244899015	95.06106530610937
62775	1008.9	13.13	1007.5	12.69	-3.3423	0.7745	-1.3168	-18.4	-100.2	6.1	307.5	-16.5	105.3	3.83	5.27	7.18	36.2	0.6033333333333334	113.7999346938883	95.06106530610937
62795	1006.4	13.13	1005.7	12.69	-2.1225	0.5782	-0.9086	-32.6	-86.2	50.3	307.5	-35.7	107.1	4.79	-5.27	11.49	36.22	0.6036666666666667	113.87853469388823	95.13911836733398
62815	1007.1	13.13	1004.5	12.69	-1.4868	0.5614	-0.5602	-40.4	-74.3	85.2	300.3	-52.5	105.9	1.44	4.31	15.32	36.24	0.604	113.85815918368415	95.35561224488521
62835	1007.7	13.13	1004.9	12.69	-1.4102	0.6081	-0.5231	-43.6	-66.1	111.7	336.3	-62.1	96.3	5.75	0.0	14.37	36.26	0.6043333333333333	113.65861632654149	95.48844489794656
62855	1007.4	13.13	1004.6	12.69	-1.5658	0.589	-0.6057	-47.1	-58.5	135.8	341.1	-69.3	102.3	2.87	0.96	-1.92	36.28	0.6046666666666667	113.73975918368419	95.68051020406926
62875	1007.3	13.13	1003.9	12.69	-4.6232	0.8775	-1.1444	-49.6	-50.5	153.0	341.1	-90.9	100.5	5.27	1.44	1.92	36.300000000000004	0.6050000000000001	113.8178326530718	95.96028163264096
62895	1007.1	13.13	1003.8	12.69	-6.5625	2.4349	-1.6927	-42.4	-36.1	132.6	350.7	-110.1	93.3	3.35	10.53	21.55	36.32	0.6053333333333334	113.92901632654095	96.24569795917188
62915	1016.6	13.13	1003.7	12.69	-7.5226	2.9485	-2.0482	-36.7	-19.0	110.0	336.3	-136.5	92.1	5.27	9.58	22.98	36.34	0.6056666666666667	114.89524897960322	96.53461632651913
62935	1018.4	13.13	1003.7	12.69	-8.7508	2.9365	-1.9417	-32.6	-0.8	85.0	333.9	-150.9	90.3	0.48	11.97	1.44	36.36	0.606	116.36482040817593	96.81234285713167
62955	1015.2	13.13	1003.7	12.69	-10.1526	3.0753	-2.0004	-30.6	19.2	54.0	348.3	-165.3	98.1	0.96	7.18	5.75	36.38	0.6063333333333334	116.79851428572796	97.07119999998912
62975	1012.0	13.13	1004.1	12.69	-26.0752	0.9313	-8.1834	-21.3	54.3	-9.8	345.9	-179.7	92.7	0.48	55.55	1.92	36.4	0.6066666666666667	116.67673877552454	97.26877142856083
62995	1020.0	13.13	997.7	12.69	-2.1069	2.4265	-1.9585	6.0	72.3	-117.3	355.5	-148.5	107.7	5.27	-1.92	20.11	36.42	0.607	118.52532244899551	99.06877142856156
63015	1010.6	13.13	1007.9	12.69	-8.5604	1.646	-3.7122	13.1	153.9	-114.2	312.3	-131.7	105.3	8.62	11.97	7.18	36.44	0.6073333333333333	118.44899591838355	99.07526938774522
63035	1004.2	13.13	1002.3	12.69	-7.0389	1.5383	-2.903	20.2	173.5	-114.4	336.3	-114.9	110.1	2.87	-4.31	8.62	36.46	0.6076666666666667	118.94868979593424	99.5055061224395
63055	1013.9	13.13	1003.9	12.69	-6.7744	1.3671	-3.3447	23.4	187.0	-111.6	307.5	-100.5	110.1	11.97	-0.96	5.75	36.480000000000004	0.6080000000000001	118.9927183673637	99.66991428570505
63075	1009.7	13.13	1002.6	12.69	-6.4775	1.3384	-3.6416	22.6	201.0	-107.9	290.7	-86.1	124.5	11.97	5.75	23.94	36.5	0.6083333333333333	118.91742448981283	100.00313877550133
63095	1007.5	13.13	1003.1	12.69	-6.0693	1.2522	-4.2485	21.7	213.7	-102.8	271.5	-74.1	122.1	0.96	5.27	7.66	36.52	0.6086666666666667	119.01832244899639	100.214840816318
63115	1006.0	13.13	1003.9	12.69	-5.4564	1.1205	-4.4293	20.4	225.1	-96.0	245.1	-47.7	128.1	6.7	-5.27	11.49	36.54	0.609	119.23249387756762	100.32520816325705
63135	1004.9	13.13	1003.6	12.69	-5.0482	1.0283	-4.9081	17.0	235.1	-86.9	230.7	-54.9	134.1	8.14	4.79	-4.79	36.56	0.6093333333333334	119.77587346940389	100.44948571427774
63155	1005.6	13.13	1003.7	12.69	-4.8028	1.0187	-5.4324	12.9	244.5	-76.1	204.3	-38.1	137.7	-1.44	3.35	6.22	36.58	0.6096666666666667	120.07002448981179	100.57511836733921
63175	1005.5	13.13	1003.7	12.69	-4.5861	1.0846	-6.2034	6.0	249.8	-61.9	185.1	-30.9	143.7	4.79	-0.48	6.7	36.6	0.61	120.39171020409722	100.6723469387681
63195	1005.4	13.13	1004.5	12.69	-4.8375	-1.1325	-8.3019	-6.3	249.7	-40.4	158.7	-16.5	145.5	-12.45	14.84	1.44	36.62	0.6103333333333333	120.80938775511721	100.69298367346221
